Hello!	Nǐ hǎo!	你好！
Excuse me, where is Ms. Zhou?	Qǐngwèn, Zhōu xiǎojiě zài nǎli?	请问,周小姐在哪里？
Ms. Zhou teaches English at a primary school.	Zhōu xiǎojiě zài xiǎoxué jiāo Yīngwén.	周小姐在小学教英文。
When will Ms. Zhou go to Japan?	Zhōu xiǎojiě shénme shíhòu yào qù Rìběn?	周小姐什么时候要去日本？
Ms. Zhou has not been to France.	Zhōu xiǎojiě méi qùguò fǎguó.	周小姐没去过法国。
School's out.	Fàngxué le.	放学了。
He got first place in the exam.	Tā kǎoshì dé le dì yī míng.	他考试得了第一名。
This is a mistake.	Zhè shì yī gè cuòwù.	这是一个错误。
"The policemen said to them, ""Stop."""	"jǐngchá duì tāmen shuō: ""zhù shǒu ""."	警察对他们说：“住手”。
I find information on the internet.	Wǒ shàngwǎng zhǎo zīliào. (also zai wangshang)	我上网找资料。
Your pen is better than mine.	nǐ de bǐ bǐ wǒ de hǎo .	你的笔比我的好。
This isn't a small sum of money.	Zhè yī bǐ qián bù shǎo.	这一笔钱不少。
NBA is professional games.	NBA shì zhíyè bǐsài.	NBA是职业比赛。
Teaching English is his profession.	jiāo yīngyǔ shì tā de zhíyè .	教英语是他的职业。
The clock does not run.	zhōng bù zǒu le .	钟不走了。
This piece of clothing is very cheap.	Zhè jiàn yīfu hěn piányi.	这件衣服很便宜。
That thing is very cheap.	Nà ge dōngxi hěn piányi.	那个东西很便宜。
Maybe seems very cheap.	sìhū hěn piányi.	似乎很便宜。
He is seriously ill.	Tā bìng de hěn yánzhòng. (also ta de bing)	他病得很严重。
It took John about two weeks to get over his illness.	chàbuduō liǎng zhōu John de bìng cái hǎo le .	差不多两周John的病才好了。
She is very angry today.	Tā jīntiān hěn shēngqì.	她今天很生气。
You look like you're very angry.	Nǐ kànqǐlái hěn shēngqì.	你看起来很生气。
They're discussing a project.	Tāmen zài tǎolùn yī gè xiàngmù.	他们在讨论一个项目。
I'm a college freshman this year.	Wǒ jīnnián dàxué yī niánjí. (also shi)	我今年大学一年级。
My kid is in the third year of elementary school.	Wǒ de háizi xiǎoxué sān niánjí.&nbsp;(also shi/zai/nian/du)	我的孩子小学三年级。
My younger sister and I are in the same grade.	Wǒ hé wǒ mèimei zài tóng yī gè niánjí.	我和我妹妹在同一个年级。
Do it when you have time, ok?	nǐ yǒu shíjiān zài zuò ba.	你有时间再做吧。
I don't know if I have time to do it.	wǒ bùzhī dào wǒ shìfǒu yǒu shíjiān zuò .	我不知道我是否有时间做。
She likes animals.	tā hěn xǐhuān dòngwù.	她很喜欢动物。
I'm staying at home alone.	Wǒ yī gè rén dāi zài jiāli.	我一个人呆在家里。
There are no classes in August. (formal)	8 yuèfèn méi kè.	8月份没课。
He's my younger brother.	Tā shì wǒ de dìdi.	他是我的弟弟。
My younger brother is not as tall as I was two years ago.	wǒ dìdi méi wǒ liǎng nián qián gāo. (also mei you)	我弟弟没我两年前高。
My younger brother is six years old ☺.	Wǒ dìdi liù suì le.	我弟弟六岁了。
My younger brother is crying.	Dìdi kū le.	弟弟哭了。
I have a younger brother.	Wǒ yǒu yī gè dìdi.	我有一个弟弟。
Let me introduce my younger brother (to you).	Ràng wǒ jièshào yíxià wǒ dìdi.	让我介绍一下我弟弟。
What time does your little brother go to school?	Nǐ dìdi jǐdiǎn shàngxué?	你弟弟几点上学？
This cloth is very pretty.	Zhèxiē bù hěn piàoliang.	这些布很漂亮。
After arriving in China, he socially interacted with many people.	Dào Zhōngguó hòu, tā jiēchù le xǔduō rén.	到中国后，他接触了许多人。
Please give me a cup of tea.	qǐng gěi wǒ yī bēi chá .	请给我一杯茶。
Please give me a glass of water.	qǐng nǐ gěi wǒ yī bēi shuǐ.	请你给我一杯水。
Please give me a glass of wine.	Qǐng gěi wǒ yī bēi jiǔ.	请给我一杯酒。
Would you like another glass of wine?	nǐ xiǎng zài lái bēi jiǔ ma?	你想再来杯酒吗？
I'm drinking water.	Wǒ zài hē shuǐ.	我在喝水。
The weather is just so nice.	Tiānqì zhème hǎo.	天气这么好。
The weather is very good today.	jīntiān tiānqì hěn hǎo .	今天天气很好。
The weather's very good today, and tomorrow will be the same.	jīntiān tiānqì hěn hǎo, hé míngtiān yīyàng.	今天天气很好，和明天一样。
The weather is extremely great today.	Jīntiān de tiānqì hǎo jí le.	今天的天气好极了。
It's hard to say what the weather will be like tomorrow. <br /> It's hard to predict what the weather will be like tomorrow.	hěn nánshuō míngtiān de tiānqì jiāng huì zěnyàng .	很难说明天的天气将会怎样。
The weather is very cold today.	Jīntiān de tiānqì hěn lěng.	今天的天气很冷。
It's gotten cold.	Tiān  lěng  le.	天冷了。
It's cold.	tiān hěn lěng.	天很冷。
The sky is very blue.	Tiān hěn lán.	天很蓝。
Soon it'll be light outside.	Tiān kuài liàng le.	天快亮了。
He sleeps in the daytime, works at night.	tā báitiān shuìjiào, wǎnshang gōngzuò.	他白天睡觉，晚上工作。
You've done very well.	Nǐ zuò de hěn hǎo.	你做得很好。
I did as good as possible.	wǒ zuò de hǎo dào bù néng zài hǎo le. (also dao -&gt; de)	我做得好到不能再好了。
Regardless of what I do, she always says I can do better.	bùguǎn wǒ zuò shénme, tā dōu shuō wǒ néng zuò de gèng hǎo. (also ta zongshi)	不管我做什么，她都说我能做得更好。
They refuse to reconcile.	Tāmen jùjué héhǎo.	他们拒绝和好。
The President refused to answer that question.	zǒngtǒng jùjué huídá nà gè wèntí.	总统拒绝回答那个问题。
She insists on her own opinion.	Tā jiānchí zìjǐ de guāndiǎn.	她坚持自己的观点。
The train is just about to leave!	Huǒchē jiù yào kāi le.	火车就要开了。
How long will it take for the train to arrive?	Huǒchē yào duō cháng shíjiān dào?	火车要多长时间到？
The train should be coming.	Huǒchē gāi lái le.	火车该来了。
That's the man I see every day on the train.	nà shì wǒ měi tiān zài huǒchē shàng kàn dào de nánrén. (also kanjian)	那是我每天在火车上看到的男人。
She insisted that was my fault.	tā jiānchí rènwéi nà shì wǒ de cuò.	她坚持认为那是我的错。
That's my suggestion.	Nà shì wǒ de jiànyì.	那是我的建议。
Why do not you ask your teacher for advice (about this)?	wèishénme bù wèn wèn nǐ lǎoshī de jiànyì ne?	为什么不问问你老师的建议呢？
That is my ideal.	Nàshì wǒ de lǐxiǎng.	那是我的理想。
If I had one million yen now, I would buy a car.	rúguǒ wǒ xiànzài yǒu 100 wàn rìyuán, wǒ huì mǎi liàng chē .	如果我现在有100万日元，我会买辆车。
Teachers point out student's problems.	Lǎoshī zhǐchū xuésheng de wèntí.	老师指出学生的问题。
The teacher pointed out this student's mistake.	Lǎoshī zhǐchū le zhè gè xuésheng de cuòwù.	老师指出了这个学生的错误。
She's very studious.	Tā hěn hàoxué.	她很好学。
The teacher attested that he is a good student.	Lǎoshī zhèngmíng tā shì yī gè hǎo xuésheng.	老师证明他是一个好学生。
He has many female friends.	Tā yǒu hěn duō nǚxìng péngyou.	他有很多女性朋友。
Where can I buy a notebook?	Nǎli kěyǐ mǎi běnzi?	哪里可以买本子？
This is a notebook.	Zhè shì běnzi.	这是本子。
Do you have a notebook?	Nǐ yǒu běnzi ma?	你有本子吗？
I'm in the fifth grade in elementary school.	Wǒ niàn xiǎoxué wǔ niánjí. (Also nian (dialect) -&gt; du)	我念小学五年级。
What day of the week is it?	Jīntiān shì xīngqī jǐ? (also zhou ji)	今天是星期几？
I've been here for two weeks.	Wǒ zài zhèli liǎng gè xīngqī le.	我在这里两个星期了。
You can probably guess what happens though.	dàn nǐ hěn kěnéng cāi dédào huì fāshēng shénme .	但你很可能猜得到会发生什么。
Guess what's inside.	Cāicai lǐmiàn shì shénme?	猜猜里面是什么？
Are you sure?	Nǐ quèdìng ma?	你确定吗？
Where is the bar?	Jiǔbā zài nǎli?	酒吧在哪里？
I'm afraid.	Wǒ hàipà.	我害怕。
What's she afraid of? (now)	Tā zài hàipà shénme?	她在害怕什么？
I'm very scared.	Wǒ hěn hàipà.	我很害怕。
Stop shouting!	Bié hǎn le!	别喊了！
His ability is limited.	Tā de nénglì yǒuxiàn. (also shi youxian de)	他的能力有限。
I received your letter. &nbsp;(polite)	wǒ shōudào le nín de xìn.	我收到了您的信。
I've received a letter.	Wǒ shōudào yī fēng xìn.	我收到一封信。
I received a letter written in English yesterday.	zuótiān, wǒ shōudào yī fēng yòng yīngyǔ xiě de xìn.	昨天，我收到一封用英语写的信。
The university was founded by his father twenty years ago.	dàxué zài 20 nián qián yóu tā de fùqin jiànlì .	大学在20年前由他的父亲建立。
They jumped very high.	Tāmen tiào de hěn gāo.	她们跳得很高。
Mom has gone to the market.	Māma qù shìchǎng le.	妈妈去市场了。
Do you want to go there?<br />I don't want to. I want to go to the market.	Nǐ xiǎng bù xiǎng qù nàlǐ?<br />Bù xiǎng. Wǒ xiǎng qù shìchǎng.	A你想不想去那里?<br/>B不想。我想去市场。
What time do you finish work?	Nǐ jǐdiǎn xiàbān?	你几点下班？
What time do you finish work?<br />Ordinarily at five o'clock in the afternoon.	Nǐ jǐ diǎn xiàbān.<br />Yìbān xiàwǔ wǔ diǎn.	A你几点下班?<br/>B一般下午五点。
I don't remember when he gets off work.	Wǒ bú jìde tā shénme shíhou xiàbān.	我不记得他什么时候下班。
What time does your older brother finish work?	Nǐ gēge jǐdiǎn xiàbān?	你哥哥几点下班？
What time does she finish work?	Tā jǐdiǎn xiàbān?	她几点下班？
What time does Ms. Zhou finish work?	Zhōu xiǎojiě jǐdiǎn xiàbān?	周小姐几点下班？
I want you to wait for me until I get through with work at 7.	wǒ xiǎng nǐ děng wǒ děng dào 7 diǎn xiàbān .	我想你等我等到7点下班。
She waited waited waited until noon.	Tā yīzhí děngdào zhōngwǔ.	她一直等到中午。
He often exercises.	Tā chángcháng yùndòng.	他常常运动。
The teacher often tells jokes.	Lǎoshī chángcháng shuō xiàohua. (hua no tone?)	老师常常说笑话。
The sky is very blue.	Tiānkōng hěn lán.	天空很蓝。
Having such a nice house, they were very satisfied&nbsp;☺.	Yǒu zhème hǎo de fángzi, tāmen hěn mǎnzú le.&nbsp;(also manyi)	有这么好的房子，他们很满足了。
You'll find it difficult to please her.	nǐ huì fāxiàn nányǐ mǎnzú tā .	你会发现难以满足她。
In the end, he finally understood that theory.	zuìhòu, tā zhōngyú míngbai le nà ge lǐlùn. (also no le)	最后，他终于明白了那个理论。
He's expounding his theory.	Tā zài shuōmíng zìjǐ de lǐlùn. (also ta de lilun)	他在说明自己的理论。
The teacher is not in the classroom.	Lǎoshī bù zài jiàoshì.	老师不在教室。
The students are in the classroom.	Xuéshengmen zài jiàoshì.	学生们在教室。
She reads the newspaper everyday. (formal)	Tā měi tiān dōu yuèdú bàozhǐ.	她每天都阅读报纸。
This is a newspaper.	Zhè shì bàozhǐ. (also yi fen)	这是报纸。
The newspaper reported that piece of news.	Bàozhǐ bàodào le nà ge xiāoxi.	报纸报道了那个消息。
He's reporting the news.	Tā zài bàodào xīnwén.	他在报道新闻。
I like to read political news.	Wǒ xǐhuan kàn zhèngzhì xīnwén.	我喜欢看政治新闻。
I'm reading the first chapter of this book.	Wǒ zài kàn zhè běn shū de dì yī zhāng.	我在看这本书的第一章。
We use our legs to walk.	Wǒmen yòng tuǐ zǒu.	我们用腿走。
Don't pull my leg!	bùyào lā wǒ de tuǐ !	不要拉我的腿！
The water is flowing down.	Shuǐ wǎng xià liú.	水往下流。
She's now thinking deeply about problems.	Tā zhèngzài sīkǎo wèntí.	她正在思考问题。
The students should learn how to think deeply.	Xuéshengmen yīnggāi xuéhuì sīkǎo.	学生们应该学会思考。
It is useless to think deeply any more.	zài sīkǎo yě méiyòng le. (also de)	再思考也没用了。
Can you hear?	nǐ tīngdejiàn ma?	你听得见吗？
Has my English improved?	Wǒ de Yīngyǔ yǒu jìnbù ma? (also yingyu jinbu le ma)	我的英语有进步吗？
If you work hard, you will see your progress.	Rúguǒ nǐ nǔlì, nǐ jiù huì kàndào zìjǐ de jìnbù.	如果你努力,你就会看到自己的进步。
Every day, the children make progress.	Háizimen měitiān dōu yǒu jìnbù.	孩子们每天都有进步。
Students gather together to study.	Xuéshengmen jízhōng zài yīqǐ xuéxí.	学生们集中在一起学习。
What color pen do you like?	Nǐ xǐhuan shénme yánsè de bǐ?	你喜欢什么颜色的笔？
Now, people educated to a lot higher level than they used to be.	xiànzài de rén jiàoyù chéngdù bǐ yǐqián gāo de duō. (also gao hen duo)	现在的人教育程度比以前高得多。
Her fingers are very pretty.	Tā de shǒuzhǐ hěn piàoliang.	她的手指很漂亮。
I can't stand it anymore!	Wǒ shòu buliǎo le.	我受不了了。
My home is one kilometer away from the train station.	Wǒ jiā jùlí chēzhàn yī gōnglǐ. (also you yi gongli)	我家距离车站1公里。
Who built this?	zhè shì shéi jiàn de?	这是谁建的？
They are chatting.	Tāmen zài liáotiān.	他们在聊天。
They are chatting.	Tāmen zài liáotiān.	他们在聊天。
Let me *carefully* consider a bit.	Ràng wǒ zǐxì kǎolǜ yīxià.	让我仔细考虑一下。
An investment opportunity has arrived.	Tóuzī de jīhuì lái le.	投资的机会来了。
He's about to invest in China.	Tā zhǔnbèi dào Zhōngguó tóuzī.	他准备到中国投资。
What a pity! <br /> What a pity.	tài kěxī le !	太可惜了！
Whose watch is this?	Zhè shì shéi de biǎo?	这是谁的表？
He glanced at his watch.	tā kàn le yīyǎn tā de biǎo .	他看了一眼他的表。
Can I have a quick look at that magazine?	wǒ néng kàn yīyǎn nà běn zázhì ma?	我能看一眼那本杂志吗？
The new magazine has been published.	Xīn zázhì chūbǎn le.	新杂志出版了。
He suspects something went wrong.	Tā huáiyí shìqing chūle wèntí.<div>(No fasheng, fasheng only for shiqings)</div>	他怀疑事情出了问题。
I am doubtful whether he'll come.	wǒ huáiyí tā shìfǒu huì lái .	我怀疑他是否会来。
The old man sat down.	lǎorén zuò le xiàlai .	老人坐了下来。
That old man is very healthy.	Nàge lǎorén hěn jiànkāng.	那个老人很健康。
The children are growing up healthy.	Háizimen jiànkāng de chéngzhǎng. (also chengzhang de jiankang)	孩子们健康地成长。
Her body is still very healthy. (formal)	Tā de shēntǐ réngrán hěn jiànkāng.	她的身体仍然很健康。
His body is very healthy.	Tāde shēntǐ hěn jiànkāng.	他的身体很健康。
I went to the hospital for a physical examination.	Wǒ qù yīyuàn jiǎnchá shēntǐ.	我去医院检查身体。
He went to have a health examination.	Tā qù jiǎnchá shēntǐ.	他去检查身体。
I'm going to do a health examination.	Wǒ yào qù jiǎnchá shēntǐ.	我要去检查身体。
The doctor is examining her health carefully.	Yīshēng zǐxì jiǎnchá tā de shēntǐ.	医生仔细检查她的身体。
He's examining the computer's service system.	Tā zhèngzài jiǎnchá diànnǎo de fúwù xìtǒng.	他正在检查电脑的服务系统。
He's examining the computer system.	Tā zài jiǎnchá diànnǎo xìtǒng.	他在检查电脑系统。
There's isn't any benefit (talking about this/saying this)	shuō zhè gè méi shénme hǎochu.	说这个没什么好处。
There is no benefit in doing it like this.	zhème zuò méi shénme hǎochu.	这么做没什么好处。
Is there benefit in doing it this way?	zhème zuò yǒu shénme hǎochu ma? (no shenme is lazy)	这么做有什么好处吗？
Science and technology advances very quickly.	Kējì fāzhǎnde hěn kuài.	科技发展得很快。
His health is recovering very well.	Tā de shēntǐ huīfù de hěn hǎo.	他的身体恢复得很好。
The economy has already recovered.	Jīngjì yǐjīng huīfù le.	经济已经恢复了。
We reckon that we can arrive at that place within two weeks.	wǒmen gūjì néng zài liǎng zhōu nèi dào nà ge dìfang .	我们估计能在两周内到那个地方。
This person is a bit weird.	Zhè gè rén yǒudiǎn guài.	这个人有点怪。
His younger brother is rather strange.	Tā dìdi bǐjiào guài.	他弟弟比较怪。
It's all your fault.	Dōu guài nǐ!	都怪你！
I like to eat meat.	Wǒ xǐhuan chī ròu.	我喜欢吃肉。
What to do, what to do?	Zěnme bàn?	怎么办？
Perchance something goes wrong, what to do?	Wànyī fāshēng wèntí, zěnme bàn? (also yidan)	万一发生问题，怎么办？
Not long ago, our work was very easy.	Bù jiǔ yǐqián, wǒmen gōngzuò hěn róngyì.	不久以前,我们工作很容易。
I have confidence I can succeed.	Wǒ zìxìn wǒ néng chénggōng.	我自信我能成功。
His seat is in the middle of the classroom.	Tā de zuòwèi zài jiàoshì zhōngjiān.	他的座位在教室中间。
There are many empty seats here.	Zhèlǐ yǒu hěnduō kōng zuò wèi.	这里有很多空座位。
A front row seat, 5 (US) dollars.	dì yīpái de zuòwèi 5 měiyuán .	第一排的座位5美元。
I'm drinking coffee too.	Wǒ yě hē kāfēi.	我也喝咖啡。
Would you like tea or coffee? (polite)	nín xiǎng yào chá háishì kāfēi?	您想要茶还是咖啡？
Please bring two teas and a coffee.	qǐng lái liǎng bēi chá hé yī bēi kāfēi .	请来两杯茶和一杯咖啡。
I've bought a cup of coffee.	Wǒ mǎile yī bēi kāfēi.	我买了一杯咖啡。
She likes to drink coffee.	Tā xǐhuan hē kāfēi.	她喜欢喝咖啡。
Coffee?	Hē kāfēi ma?	喝咖啡吗？
I want a cup of coffee.	Wǒ yào yī bēi kāfēi.	我要一杯咖啡。
I like coffee better.	wǒ gèng xǐhuān kāfēi .	我更喜欢咖啡。
She likes to drink coffee.	Tā xǐhuan hē kāfēi.	她喜欢喝咖啡。
&quot;Will you have some more coffee?&quot; &quot;No, thanks. I've had enough.&quot;	"""nǐ xiǎng zài lái diǎn kāfēi ma?"" ""bù, xièxie. wǒ gòu le."""	“你想再来点咖啡吗？”“不，谢谢。我够了。”
You drank too much coffee.	nǐ kāfēi hē de tài duō le .	你咖啡喝得太多了。
He always drinks black coffee.	tā zǒng hē tā de hēi kāfēi. (also no ta de)	他总喝他的黑咖啡。
I got up while it was still dark (I'm just saying ...)	wǒ qǐlai de shíhou tiān háishì hēi de ne.	我起来的时候天还是黑的呢。
I can make a choice between tea or coffee.	wǒ kěyǐ zài chá hé kāfēi zhījiān zuò ge xuǎnzé .	我可以在茶和咖啡之间做个选择。
I wanted tea, but rather, he nevertheless gave me a cup of coffee.	wǒ yào de shì chá, ér tā què gěi le wǒ yī bēi kāfēi. (also danshi)	我要的是茶，而他却给了我一杯咖啡。
Although he's old, his health is nevertheless very very good.	Suīrán tā lǎo, kěshì shēntǐ què fēicháng hǎo.<div>(Also suiran hen lao ... keshi ta ...)</div>	虽然他老，可是身体却非常好。
The sun is out, nevertheless it's raining, really strange.	Tiān shàng yǒu tàiyáng, què xià zhe yǔ, zhēn qíguài. (also tiankong)	天上有太阳却下着雨，真奇怪！
The coffee machine is always broken.	Kāfēijī zǒnɡshì huài.	咖啡机总是坏。
Her hair is very dark.	Tā de tóufa hěn hēi.	她的头发很黑。
Hair is dry&nbsp;☺.	Tóufa gān le.	头发干了。
I saw a schoolgirl with long hair.	wǒ kànjiàn yī gè&nbsp;cháng tóufà de nǚshēng .	我看见一个长头发的女生。
The coffee is a little bitter.	Kāfēi yǒudiǎn kǔ.	咖啡有点苦。
It is dangerous to drink too much alcohol.	jiǔ hē tài duō hěn wēixiǎn. (also he de)	酒喝太多很危险。
These books are very thick.	Zhèxiē shū hěn hòu.	这些书很厚。
In 1776, America became independent.	Yī qī qī liù nián, Měiguó dúlì le.	1776年，美国独立了。
We know each other through the internet.	Wǒmen shì tōngguò wǎngluò rènshi de.	我们是通过网络认识的。
They achieved success.	Tāmen qǔdéle chénggōng.	他们取得了成功。
We need to help each other.	Wǒmen xūyào hùxiāng bāngzhù.	我们需要互相帮助。
The classmates are always helping each other.	Tóngxuémen zǒngshì hùxiāng bāngzhù.	同学们总是互相帮助。
This man and his wife help each other.	zhè nánrén hé tā qīzi hùxiāng bāngzhù .	这男人和他妻子互相帮助。
The two countries communicate with each other.	Liǎng guó hùxiāng jiāoliú.&nbsp;(also liang ge guojia)	两国互相交流。
He surprisingly can speak the languages of 20 countries.	Tā jìngrán huì shuō èrshí guó de yǔyán.	他竟然会说二十国的语言。
I've got many foreign friends.	Wǒ yǒu hěn duō wàiguó péngyou.	我有很多外国朋友。
They're foreign students.	Tāmen shì wàiguó liúxuésheng.	他们是外国留学生。
Kids are not allowed to watch this movie.	Zhè gè diànyǐng, értóng bù néng kàn.	这个电影，儿童不能看。
Children are the future of our country. (formal)	Értóng shì guójiā de wèilái. (ertong more formal than haizemen)	儿童是国家的未来。
Allow me to introduce you, this is my  principal.	Ràng wǒ lái jièshào yī xià zhè shì wǒde xiàozhǎng.	让我来介绍一下,这是我的校长。
Generally speaking, she is very cute.	Zǒngdeláishuō, tā hěn kě'ài.	总的来说，她很可爱。
The school's equipment is very new.	Xuéxiào de shèbèi hěn xīn.	学校的设备很新。
I'm about to update my computer equipment.	Wǒ zhǔnbèi gēngxīn wǒ de diànnǎo shèbèi.	我准备更新我的电脑设备。
This is clearly the best novel that has been published this year.	zhè xiǎnrán shì jīnnián chūbǎn de zuì hǎo de xiǎoshuō .	这显然是今年出版的最好的小说。
Is the director coming?<br />Regrettably, he can't come.	Zhǔrèn lái ma?<br />Kěxī, tā bù huì lái.	A主任来吗？<br/>B可惜,他不会来。
Please give me a piece of paper.	Qǐng gěi wǒ yī zhāng zhǐ.	请给我一张纸。
Can you speak Chinese?<br />Yes, I can speak it.	Nín huì shuō Zhōngwén ma?<br />Huì, wǒ huì shuō.	A您会说中文吗?<br/>B会,我会说。
She's writing an essay.	Tā zài xiě zuòwén.	她在写作文。
He chose A as the answer to this question.	"Tā xuǎnzé A wéi zhè dào tí de dá'àn. (wei2 = ""as"")"	他选择A为这道题的答案。
This is the correct answer.	Zhè shì zhèngquè dá'àn.	这是正确答案。
Do you really need to ask questions to know the answer?	nǐ zhēnde xūyào tí wèntí lái zhīdào dáàn ma?	你真的需要提问题来知道答案吗？
The children are constantly asking questions.	Háizimen búduàn de tí wèn.	孩子们不断得提问。
I had no idea this would bring you that much trouble.	wǒ yīdiǎn dōu bù zhīdào zhè huì gěi nǐ dàilái nàme duō wèntí .	我一点都不知道这会给你带来那么多问题。
The UK is a European country.	Yīngguó shì Ōuzhōu de yīge guójiā. (also shi yi ge ...)	英国是欧洲的一个国家。
I decided to go to America rather than going to Europe.	wǒ juédìng qù Měiguó, ér bù shì Oūzhōu .	我决定去美国，而不是欧洲。
Germany is a nation in Europe.	Déguó shì Ōuzhōu de yī gè&nbsp;guójiā.&nbsp;(also shi yi ge ...)	德国是欧洲的一个国家。
I've never ever been to Europe.	wǒ cóng méi qù guò Oūzhōu .	我从没去过欧洲。
I have never, ever seen her before.	wǒ yǐqián cóng méi jiànguo tā.	我以前从没见过她。
This is the tallest man that I have ever seen!	zhè shì wǒ jiànguo de zuì gāo de nánrén le.	这是我见过的最高的男人了。
Didn't we meet somewhere before? the student asked.	yǐqián wǒmen méi zài nǎr jiànguo ma? xuésheng wèn dào. (also women yiqian)	“以前我们没在哪儿见过吗？”学生问道。
This is the highest mountain in the vicinity.	Zhè shì fùjìn zuì gāo de shān.	这是附近最高的山。
My younger brother likes taking pictures of mountains.	wǒ dìdi hěn xǐhuān pāi shān de zhàopiàn .	我弟弟很喜欢拍山的照片。
He has taken numerous photos.	Tā pāi le dàliàng de zhàopiàn.	他拍了大量的照片。
Perchance there's a problem, what to do what to do?	Yīdàn fāshēng wèntí, zěnme bàn? (also wanyi) (also you3)	一旦发生问题，怎么办？
I don't care what your names are. Once the work is done, I'm leaving here.	wǒ bùguǎn nǐmen de míngzi jiào shénme.<div>yīdàn gōngzuò wánchéng, wǒ jiù cóng zhèr líkāi.<div>(also bu zaihu) (also wanyi)</div></div>	我不管你们的名字叫什么。一旦工作完成，我就从这儿离开。
Some people like sports, others don't.	yǒuxiē rén xǐhuān yùndòng, yǒuxiē rén bù xǐhuān.	有些人喜欢运动，有些人不喜欢。
There were a lot of people at the concert.	yīnyuèhuì shàng yǒu hěn duō rén .	音乐会上有很多人。
This little dog has very long fur.	Zhè zhī xiǎo gǒu de máo hěn cháng.	这只小狗的毛很长。
They are living a peaceful life.	tāmen guò zhe hépíng de shēnghuó .	他们过着和平的生活。
Nothing is as important as peace.	méiyǒu shénme hé hépíng yīyàng zhòngyào .	没有什么和和平一样重要。
The road to peace.	hépíng zhī lù .	和平之路。
These documents are very very important.	Zhèxiē wénjiàn fēicháng zhòngyào.	这些文件非常重要。
Quality control is very important.	Zhìliàng kòngzhì hěn zhòngyào.	质量控制很重要。
I need to go do important things immediately.	Zhòngyào de shìqing yào lìjí qù zuò. (Also no qu (less strong))	重要的事情要立即去做。
Let's set off right away.	Wǒmen lìjí chūfā ba.	我们立即出发吧。
The train sets off at six.	huǒchē 6 diǎn chūfā.	火车6点出发。
Is there anyone who can pronounce this word?	yǒu rén néng fā zhè gè cí de yīn ma ?	有人能发这个词的音吗？
He is a musician.	Tā shì yīnyuèjiā.	他是音乐家。
Do you know when the musician will come here?	nǐ zhīdào yīnyuèjiā shénme shíhou lái zhèr ma ?	你知道音乐家什么时候来这儿吗？
I'm very delighted.	Wǒ hěn kuàilè. (le 4th tone)	我很快乐。
I'm very happy.	Wǒ hěn kuàilè.	我很快乐。
To differentiate between these two clothes, you need to look at the color.	Qūbié zhè liǎng jiàn yīfu, yào kàn yánsè. (also qubie chulai)	区别这两件衣服，要看颜色。
You can differentiate between different colors with one glance.	Bùtóng de yánsè yīyǎn jiù néng qūbié chūlái.	不同的颜色一眼就能区别出来。
This won't make any difference.	zhè méiyǒu rènhé qūbié.	这没有任何区别。
Don't tell anyone our plan. <br /> Don't mention our plan to anybody.	bùyào bǎ wǒmen de jìhuà gàosu rènhérén .	不要把我们的计划告诉任何人。
She believed the plan was very good, but impractical.	tā rènwéi jìhuà hěn hǎo, dàn bù kěxíng.	她认为计划很好，但不可行。
Kids these days think that any issue in life can be resolved as simply as restarting a computer game.	xiànzài de háizi rènwéi jiějué rènhé shēnghuó wèntí dōu xiàng chóngxīnkāishǐ yī ge diànnǎo yóuxì nàme jiǎndān.	现在的孩子认为解决任何生活问题都像重新开始一个电脑游戏那么简单。
I don't agree to her going there alone.	wǒ bù tóngyì tā yī gè rén qù nàr .	我不同意她一个人去那儿。
I disagree with your views.	wǒ bù tóngyì nǐ de kànfǎ.	我不同意你的看法。
I support his views.	Wǒ zhīchí tā de kànfǎ.	我支持他的看法。
I will absolutely not support him.	Wǒ juéduì bù huì zhīchí tā.	我绝对不会支持他。
Every day I work different hours.	wǒ měi tiān gōngzuò bùtóng shíduàn .	我每天工作不同时段。
He very much pays attention to economic news.	Tā hěn guānzhù jīngjì xīnwén.	他很关注经济新闻。
You appear to be relaxed.	Nǐ kànqǐlái hěn qīngsōng.	你看起来很轻松。
After I said everything I needed to say, I felt very relieved.	shuō le suǒyǒu wǒ yào shuō de huà hòu, wǒ gǎnjué hěn qīngsōng.	说了所有我要说的话后，我感觉很轻松。
He effortlessly ran the 1,000 meters.	Tā hěn qīngsōng de pǎo wán le yī qiān mǐ.	他很轻松地跑完了1000米。
It's Grandpa who bought it for me!	yéye mǎi gěi wǒ de!	爷爷买给我的！
The products of that company are very good.	Nàge gōngsī de chǎnpǐn hěn hǎo.	那个公司的产品很好。
The quality of products is not bad.	Chǎnpǐn de zhìliàng bù cuò.	产品的质量不错。
Everyone wants to buy high quality products.	Dàjiā dōu xiǎng mǎi zhìliàng hǎo de chǎnpǐn.	大家都想买质量好的产品。
I saw a cat chasing after the dog.	wǒ kànjiàn yī zhī māo zhuī zhe yī zhī gǒu pǎo .	我看见一只猫追着一只狗跑。
He wants to chase me. (for dating)	Tā xiǎng zhuīqiú wǒ.	他想追求我。
Ogai is his favorite author.	Ogai shì tā zuì xǐhuān de zuòzhě .	Ogai是他最喜欢的作者。
She maybe seems prettier than ever.	tā sìhū bǐ yǐwǎng rènhé shíhou dōu piàoliang .	她似乎比以往任何时候都漂亮。
The car is broken down, he's very worried.	Chēzi huàile, tā hěn jí.	车子坏了，他很急。
